,state,UP,DOWN,LEFT,RIGHT,POLICY
0,"((5, 0), (4, 1))",-344.8750171905866,-347.3477136216047,-347.3477074637158,-335.7047685797927,RIGHT
1,"((4, 0), (4, 1))",-338.6692566455119,-335.15554381496577,-335.86614174770637,-335.07543216149077,RIGHT
2,"((3, 0), (4, 1))",-331.9443674696049,-332.0491523548022,-332.53116439703683,-334.1758965837555,UP
3,"((2, 0), (4, 1))",-330.25875727725173,-328.848317566623,-329.47944113040717,-327.6410215901385,RIGHT
4,"((1, 0), (4, 1))",-327.3433280056002,-327.8192859119415,-329.61879542512713,-326.0474819782146,RIGHT
5,"((0, 0), (4, 1))",-327.0237821591862,-325.0418781975636,-327.0237821591862,-325.22329839284566,DOWN
6,"((5, 1), (4, 1))",-324.9543116967603,-335.70476650873405,-347.3477104730239,-347.33979535153617,UP
7,"((4, 1), (3, 1))",-313.08516333006094,-337.70101824542814,-337.6932418153666,-337.4239806175712,UP
8,"((3, 1), (2, 1))",-300.08602356571816,-326.95330824567344,-326.55806728089954,-326.6429491390452,UP
9,"((2, 1), (1, 1))",-300.08592097725614,-315.084941764471,-285.94547834921025,-315.0681292317503,LEFT
10,"((3, 1), (1, 1))",-300.0860122836359,-303.27351778022205,-300.64842563652394,-304.7281151764212,UP
11,"((2, 0), (1, 1))",-270.65199833253564,-302.0860229405571,-285.94506825887595,-300.08601533755257,UP
12,"((1, 0), (1, 1))",-285.945386709712,-285.9447513804166,-270.65199600546885,-256.21413972983396,RIGHT
13,"((0, 0), (1, 1))",-274.4228694557785,-270.65199553593595,-274.4228694557785,-273.9165962114655,DOWN
14,"((3, 0), (1, 1))",-285.9454783455094,-290.23879018356513,-289.6685844255438,-289.9233398234404,UP
15,"((2, 2), (1, 1))",-303.60811537138375,-304.96584184876383,-300.08427251593184,-509.5,LEFT
16,"((1, 2), (1, 1))",-294.6027486856625,-303.11571519756683,-294.46955108198233,-297.9092436506195,LEFT
17,"((0, 2), (1, 1))",-289.6405013329571,-293.0928106083071,-284.49801394781923,-291.0772683423482,LEFT
18,"((3, 2), (1, 1))",-299.3793062754189,-302.541502780041,-305.74052802821495,-510.0,UP
19,"((4, 1), (1, 1))",-304.81473459664744,-301.5728304067103,-296.08971525858107,-303.1908689121139,LEFT
20,"((4, 0), (1, 1))",-294.42961579151444,-294.50584967077356,-287.83545808975464,-291.9824260721277,LEFT
21,"((4, 2), (1, 1))",-298.67629006148877,-301.8894683507518,-303.2839050211586,-510.5,UP
22,"((1, 1), (1, 2))",-270.5761731924164,-270.6519982299144,-270.651976825415,-242.64054518165045,RIGHT
23,"((0, 1), (1, 2))",-256.55178821587316,-256.20707529125536,-258.16827885611156,-257.53557076382856,DOWN
24,"((2, 1), (1, 2))",-256.2141397298337,-266.41920352903674,-259.749574927748,-268.4653453219813,UP
25,"((1, 0), (1, 2))",-258.5299247099906,-261.0011688788558,-259.17715448601297,-256.21413922623054,RIGHT
26,"((0, 0), (1, 2))",-251.30845455354694,-258.8748808997492,-251.30845455354694,-257.8334790745945,UP
27,"((2, 0), (1, 2))",-263.6439111267256,-260.48264328840185,-259.0519122807792,-262.0126135898055,LEFT
28,"((1, 2), (1, 3))",-256.2137737857921,-256.2072666628166,-256.2102495559959,-229.93994462792978,RIGHT
29,"((0, 2), (1, 3))",-249.0737103506455,-242.64053305338405,-246.427562208069,-243.10210147161345,DOWN
30,"((2, 2), (1, 3))",-242.64028965304936,-243.36301247538913,-248.66251148914608,-507.5,UP
31,"((1, 1), (1, 3))",-244.54033574944356,-243.49792326332113,-249.9433968523106,-242.64028189558087,RIGHT
